Short Form Group,Group (FSS | Level | Bucket),y_int,slope,adjusted_slope,demand_function
0-100-EW-1,0 | 100s (East and West) | 1,3100,-0.390800901,-0.390800901,3100.0 - 0.391p
0-100-EW-2,0 | 100s (East and West) | 2,3100,-0.839588546,-0.839588546,3100.0 - 0.84p
0-100-EW-3,0 | 100s (East and West) | 3,3100,-1.144578313,-1.144578313,3100.0 - 1.145p
0-100-EW-4,0 | 100s (East and West) | 4,3100,-1.691609977,-1.691609977,3100.0 - 1.692p
0-100-EW-5,0 | 100s (East and West) | 5,3100,-2.75334608,-2.75334608,3100.0 - 2.753p
0-100-NS-1,0 | 100s (North and South) | 1,4650,-0.257914076,-0.257914076,4650.0 - 0.258p
0-100-NS-2,0 | 100s (North and South) | 2,4650,-0.461962064,-0.461962064,4650.0 - 0.462p
0-100-NS-3,0 | 100s (North and South) | 3,4650,-0.573727109,-0.573727109,4650.0 - 0.574p
0-100-NS-4,0 | 100s (North and South) | 4,4650,-1.045641601,-1.045641601,4650.0 - 1.046p
0-100-NS-5,0 | 100s (North and South) | 5,4650,-2.277680141,-2.277680141,4650.0 - 2.278p
0-300-EW-1,0 | 300s (East and West) | 1,1550,-0.551685706,-0.551685706,1550.0 - 0.552p
0-300-EW-2,0 | 300s (East and West) | 2,1550,-0.94637224,-0.94637224,1550.0 - 0.946p
0-300-EW-3,0 | 300s (East and West) | 3,1550,-1.364779874,-1.364779874,1550.0 - 1.365p
0-300-EW-4,0 | 300s (East and West) | 4,1550,-1.83927092,-1.83927092,1550.0 - 1.839p
0-300-EW-5,0 | 300s (East and West) | 5,1550,-2.631004367,-2.631004367,1550.0 - 2.631p
0-300-NS-1,0 | 300s (North and South) | 1,6200,-1.932732147,-1.932732147,6200.0 - 1.933p
0-300-NS-2,0 | 300s (North and South) | 2,6200,-2.863961814,-2.863961814,6200.0 - 2.864p
0-300-NS-3,0 | 300s (North and South) | 3,6200,-4.180682364,-4.180682364,6200.0 - 4.181p
0-300-NS-4,0 | 300s (North and South) | 4,6200,-6.502932551,-6.502932551,6200.0 - 6.503p
0-300-NS-5,0 | 300s (North and South) | 5,6200,-7.675159236,-7.675159236,6200.0 - 7.675p
0-courtside-1,0 | courtside | 1,400,-0.005646641,-0.005646641,400.0 - 0.006p
0-courtside-2,0 | courtside | 2,400,-0.013648294,-0.013648294,400.0 - 0.014p
0-courtside-3,0 | courtside | 3,400,-0.015782275,-0.015782275,400.0 - 0.016p
0-courtside-4,0 | courtside | 4,400,-0.02435019,-0.02435019,400.0 - 0.024p
0-courtside-5,0 | courtside | 5,400,-0.031110617,-0.031110617,400.0 - 0.031p
1-100-EW-1,1 | 100s (East and West) | 1,3100,-0.149565777,-0.153720382,3100.0 - 0.154p
1-100-EW-2,1 | 100s (East and West) | 2,3100,-0.430914651,-0.44414701,3100.0 - 0.444p
1-100-EW-3,1 | 100s (East and West) | 3,3100,-0.688015219,-0.750373094,3100.0 - 0.75p
1-100-EW-4,1 | 100s (East and West) | 4,3100,-1.038548753,-1.345597949,3100.0 - 1.346p
1-100-EW-5,1 | 100s (East and West) | 5,3100,-1.854684512,-1.959543,3100.0 - 1.96p
1-100-NS-1,1 | 100s (North and South) | 1,4650,-0.098925947,-0.10167389,4650.0 - 0.102p
1-100-NS-2,1 | 100s (North and South) | 2,4650,-0.237609627,-0.244906051,4650.0 - 0.245p
1-100-NS-3,1 | 100s (North and South) | 3,4650,-0.345083095,-0.376359509,4650.0 - 0.376p
1-100-NS-4,1 | 100s (North and South) | 4,4650,-0.643471755,-0.833715578,4650.0 - 0.834p
1-100-NS-5,1 | 100s (North and South) | 5,4650,-1.53602812,-1.622870698,4650.0 - 1.623p
1-300-EW-1,1 | 300s (East and West) | 1,1550,-0.353859014,-0.363688431,1550.0 - 0.364p
1-300-EW-2,1 | 300s (East and West) | 2,1550,-0.630914826,-0.650288713,1550.0 - 0.65p
1-300-EW-3,1 | 300s (East and West) | 3,1550,-0.924528302,-1.008322408,1550.0 - 1.008p
1-300-EW-4,1 | 300s (East and West) | 4,1550,-1.25932063,-1.631641512,1550.0 - 1.632p
1-300-EW-5,1 | 300s (East and West) | 5,1550,-1.877729258,-1.983890628,1550.0 - 1.984p
1-300-NS-1,1 | 300s (North and South) | 1,6200,-1.23811845,-1.272510629,6200.0 - 1.273p
1-300-NS-2,1 | 300s (North and South) | 2,6200,-1.902488919,-1.960909807,6200.0 - 1.961p
1-300-NS-3,1 | 300s (North and South) | 3,6200,-2.830370014,-3.086899018,6200.0 - 3.087p
1-300-NS-4,1 | 300s (North and South) | 4,6200,-4.457478006,-5.775341069,6200.0 - 5.775p
1-300-NS-5,1 | 300s (North and South) | 5,6200,-5.477707006,-5.787400686,6200.0 - 5.787p
1-courtside-1,1 | courtside | 1,400,-0.001613326,-0.001658141,400.0 - 0.002p
1-courtside-2,1 | courtside | 2,400,-0.006999125,-0.007214052,400.0 - 0.007p
1-courtside-3,1 | courtside | 3,400,-0.009118648,-0.009945111,400.0 - 0.01p
1-courtside-4,1 | courtside | 4,400,-0.013590804,-0.017608954,400.0 - 0.018p
1-courtside-5,1 | courtside | 5,400,-0.019047317,-0.020124197,400.0 - 0.02p
